,id,dominant_driver,area_ha,year
179,2,4,39.71476,2012
180,2,4,87.82636,2013
181,2,4,38.12617,2014
182,2,4,21.3325,2015
183,2,4,74.28551999999999,2016
184,2,4,95.31543,2017
185,2,4,36.15934,2018
186,2,4,9.4559,2019
187,2,4,10.21237,2020
188,2,4,17.24755,2021
189,3,1,50746.97965999999,2001
190,3,1,52369.48153999999,2002
191,3,1,27808.863960000002,2003
192,3,1,53260.09200999999,2004
193,3,1,131759.54737,2005
194,3,1,31193.712120000004,2006
195,3,1,26154.211049999998,2007
196,3,1,40511.991420000006,2008
197,3,1,26051.76674,2009
198,3,1,33414.64739,2010
199,3,1,30337.628969999998,2011
200,3,1,45840.08646,2012
201,3,1,39369.830069999996,2013
202,3,1,50158.022520000006,2014
203,3,1,40586.2005,2015
204,3,1,70912.85244999999,2016
205,3,1,68876.216,2017
206,3,1,69335.51063,2018
207,3,1,68782.92632,2019
208,3,1,72789.04735000001,2020
209,3,1,95323.69173,2021
210,3,2,18527.57554,2001
211,3,2,18064.29454,2002
212,3,2,10717.94385,2003
213,3,2,15025.864379999997,2004
214,3,2,41108.683419999994,2005
215,3,2,10359.701200000001,2006
216,3,2,10095.345530000002,2007
217,3,2,15310.51449,2008
218,3,2,10723.661509999998,2009
219,3,2,10260.848859999996,2010
220,3,2,9279.12129,2011
221,3,2,18979.110850000005,2012
222,3,2,13196.684379999999,2013
223,3,2,17124.37219,2014
224,3,2,12845.18896,2015
225,3,2,26801.7363,2016
226,3,2,26480.80648,2017
227,3,2,23760.492890000005,2018
228,3,2,23518.136479999997,2019
229,3,2,25390.561519999996,2020
230,3,2,33394.02461,2021
231,3,4,121.11111000000001,2001
232,3,4,9.60719,2002
233,3,4,27.08168,2003
234,3,4,22.84544,2004
235,3,4,109.15886,2005
236,3,4,19.59262,2006
237,3,4,28.0651,2007
238,3,4,13.23825,2008
239,3,4,8.92637,2009
240,3,4,43.49712,2010
241,3,4,42.81629,2011
242,3,4,39.71476,2012
243,3,4,87.82636,2013
244,3,4,38.12617,2014
245,3,4,21.3325,2015
246,3,4,74.28551999999999,2016
247,3,4,95.31543,2017
248,3,4,36.15934,2018
